date,,maker,electric_vehicles_sold,YEAR,vehicle_category,,,,,,,,,,
01-04-2021,,OLA ELECTRIC,0,2021,2-Wheelers,,,,,,,,,,
01-04-2021,,OKAYA EV,0,2021,2-Wheelers,,,,,,,vehicle_category,avg price,,
01-04-2021,,OLA ELECTRIC,0,2021,2-Wheelers,,,,,,,2-Wheelers,80000,,
01-04-2021,,OLA ELECTRIC,0,2021,2-Wheelers,,,,,,,4-Wheelers,1500000,,
01-04-2021,,OLA ELECTRIC,0,2021,2-Wheelers,,,,,,,,,,
01-04-2021,,OLA ELECTRIC,0,2021,2-Wheelers,,,,,,,,,,
01-04-2021,,OLA ELECTRIC,0,2021,2-Wheelers,,,,,,,,,,
01-04-2021,,OLA ELECTRIC,0,2021,2-Wheelers,,,,YEAR,TOTAL SALES,CAGR,4 wheelers,2 wheelers,revenue growth 4wheelers,revenue growth 2wheelers
01-04-2021,,OLA ELECTRIC,0,2021,2-Wheelers,,,,2021,55493,1.761703969,55493,0," ? 83,23,95,00,000.00 ", ? -   
01-04-2021,,BYD India,0,2021,4-Wheelers,,,,2022,457359,,97450,359909," ? 1,46,17,50,00,000.00 "," ? 28,79,27,20,000.00 "
01-04-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,2023,1126651,,0,1126651, ? -   ," ? 90,13,20,80,000.00 "
01-04-2021,,BMW India,0,2021,4-Wheelers,,,,2024,423245.6,,0,423245.6, ? -   ," ? 33,85,96,48,000.00 "
01-04-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,SUM,2062748.6,,,,,
01-04-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-04-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-04-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
01-04-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-04-2021,,BYD India,0,2021,4-Wheelers,,,,,,,,,,
01-04-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-04-2021,,BMW India,0,2021,4-Wheelers,,,,,,,,,,
01-04-2021,,Mercedes -Benz AG,0,2021,4-Wheelers,,,,,,,,,,
01-04-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,BYD India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,BMW India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,BYD India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,BMW India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-05-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
